Site,TimeStamp,DO_mgL
Azevedo Pond,5/5/21 20:30,0.1
Azevedo Pond,5/5/21 20:45,1.2
Azevedo Pond,5/5/21 21:00,3.9
Azevedo Pond,5/5/21 21:15,5.1
Azevedo Pond,5/5/21 21:30,5.1
Azevedo Pond,5/5/21 21:45,4.7
Azevedo Pond,5/5/21 22:00,4.3
Azevedo Pond,5/5/21 22:15,3.7
Azevedo Pond,5/5/21 22:30,3.7
Azevedo Pond,5/5/21 22:45,3.7
Azevedo Pond,5/5/21 23:00,3.5
Azevedo Pond,5/5/21 23:15,3
Azevedo Pond,5/5/21 23:30,2.7
Azevedo Pond,5/5/21 23:45,2.4
Azevedo Pond,5/6/21 0:00,2.1
Azevedo Pond,5/6/21 0:15,1.9
Azevedo Pond,5/6/21 0:30,2
Azevedo Pond,5/6/21 0:45,1.9
Azevedo Pond,5/6/21 1:00,1.6
Azevedo Pond,5/6/21 1:15,1.6
Azevedo Pond,5/6/21 1:30,1.4
Azevedo Pond,5/6/21 1:45,1.3
Azevedo Pond,5/6/21 2:00,0.8
Azevedo Pond,5/6/21 2:15,0.8
Azevedo Pond,5/6/21 2:30,0.8
Azevedo Pond,5/6/21 2:45,0.4
Azevedo Pond,5/6/21 3:00,0.3
Azevedo Pond,5/6/21 3:15,0.2
Azevedo Pond,5/6/21 3:30,0.2
Azevedo Pond,5/6/21 3:45,0.1
Azevedo Pond,5/6/21 4:00,0
Azevedo Pond,5/6/21 4:15,0
Azevedo Pond,5/6/21 4:30,0
Azevedo Pond,5/6/21 4:45,0
Azevedo Pond,5/6/21 5:00,0
Azevedo Pond,5/6/21 5:15,0
Azevedo Pond,5/6/21 5:30,0
Azevedo Pond,5/6/21 5:45,0
Azevedo Pond,5/6/21 6:00,0
Azevedo Pond,5/6/21 6:15,0
Azevedo Pond,5/6/21 6:30,0
Azevedo Pond,5/6/21 6:45,0
Azevedo Pond,5/6/21 7:00,0
Azevedo Pond,5/6/21 7:15,0
Azevedo Pond,5/6/21 7:30,0
Azevedo Pond,5/6/21 7:45,0
Azevedo Pond,5/6/21 8:00,0
Azevedo Pond,5/6/21 8:15,0
Azevedo Pond,5/6/21 8:30,0
Azevedo Pond,5/6/21 8:45,0
Azevedo Pond,5/6/21 9:00,0
Azevedo Pond,5/6/21 9:15,0
Azevedo Pond,5/6/21 9:30,0
Azevedo Pond,5/6/21 9:45,0
Azevedo Pond,5/6/21 10:00,0
Azevedo Pond,5/6/21 10:15,0
Azevedo Pond,5/6/21 10:30,0
Azevedo Pond,5/6/21 10:45,0
Azevedo Pond,5/6/21 11:00,0
Azevedo Pond,5/6/21 11:15,0
Azevedo Pond,5/6/21 11:30,0
Azevedo Pond,5/6/21 11:45,0
Azevedo Pond,5/6/21 12:00,0
Azevedo Pond,5/6/21 12:15,0
Azevedo Pond,5/6/21 12:30,0.2
Azevedo Pond,5/6/21 12:45,0.2
Azevedo Pond,5/6/21 13:00,0.6
